iter	RMSE
0	18.5496332
1	18.22974199
2	17.93060921
3	17.63193822
4	17.33017683
5	17.03209399
6	16.78026444
7	16.52362642
8	16.25377509
9	15.9970398
10	15.74598757
11	15.50423733
12	15.29400405
13	15.0737909
14	14.86036853
15	14.68306112
16	14.49476524
17	14.31208218
18	14.14961353
19	13.97780392
20	13.8132895
21	13.66238415
22	13.50752119
23	13.3177163
24	13.1544473
25	13.00096109
26	12.82731444
27	12.69906767
28	12.54719156
29	12.39574286
30	12.27467463
31	12.14904548
32	12.0342737
33	11.90503631
34	11.80356406
35	11.6803579
36	11.57595422
37	11.47250461
38	11.34032952
39	11.22740159
40	11.14034419
41	11.03370909
42	10.94442309
43	10.86744469
44	10.7883645
45	10.69431556
46	10.6061168
47	10.51899883
48	10.44766234
49	10.36667231
50	10.28774671
51	10.22701496
52	10.16692405
53	10.0975097
54	10.0210514
55	9.949423242
56	9.884858684
57	9.819261731
58	9.759239157
59	9.719687221
60	9.662754381
61	9.61665324
62	9.569854562
63	9.516832806
64	9.468114346
65	9.415665406
66	9.367165759
67	9.32052211
68	9.277116731
69	9.231830938
70	9.188694311
71	9.145429892
72	9.104597184
73	9.060399561
74	9.030889198
75	8.970471413
76	8.927469566
77	8.897018761
78	8.860890685
79	8.823794542
80	8.794739046
81	8.749320531
82	8.711061861
83	8.674079012
84	8.638474705
85	8.593118002
86	8.55478963
87	8.516822341
88	8.47491761
89	8.437124774
90	8.415378889
91	8.390863651
92	8.363978175
93	8.335438374
94	8.302662954
95	8.263289736
96	8.224683306
97	8.190343968
98	8.171783585
99	8.13892107
100	8.106394279
101	8.081463086
102	8.050908352
103	8.016754643
104	7.996556734
105	7.97565488
106	7.950330554
107	7.928865213
108	7.903798221
109	7.883127714
110	7.859039353
111	7.826386245
112	7.8035083
113	7.776940792
114	7.755076652
115	7.722895236
116	7.701039582
117	7.670562309
118	7.653212987
119	7.626625428
120	7.611061337
121	7.577819259
122	7.551731676
123	7.537981423
124	7.52322692
125	7.494448255
126	7.474631767
127	7.459194387
128	7.434780767
129	7.409631151
130	7.395100452
131	7.384773445
132	7.364300208
133	7.350536143
134	7.336548313
135	7.320432681
136	7.303262807
